x,y,label
-0.574831,1.500000,0
-0.793986,1.498627,0
-0.299601,1.406226,0
-0.680165,1.390876,0
-0.497439,1.375907,0
-0.949262,1.332025,0
0.053151,1.270144,0
-0.822486,1.227304,0
-0.134359,1.170540,0
-0.244035,1.165613,0
-0.418278,1.101995,0
-1.173331,1.096402,0
0.169695,1.026961,0
-1.214607,1.032141,0
-0.588501,0.957603,0
-1.167435,0.970260,0
-0.716349,0.895289,0
0.265427,0.901716,0
-0.524901,0.805117,0
-1.104094,0.799589,0
-0.148883,0.817500,0
0.044306,0.831029,0
-1.307183,0.751774,0
-0.052434,0.667699,0
-0.639538,0.697434,0
-0.339391,0.708117,0
-0.866711,0.691797,0
-0.227918,0.657287,0
-1.114366,0.623252,0
-0.185659,0.580412,0
0.097375,0.584696,0
0.215012,0.553636,0
-1.224041,0.563275,0
-1.025917,0.546139,0
0.340608,0.511867,0
-1.300107,0.516151,0
-0.100159,0.421664,0
0.176979,0.439038,0
-1.212212,0.343718,0
-1.025917,0.387629,0
0.016164,0.341284,0
0.141599,0.316942,0
0.238893,0.280528,0
0.387289,0.256252,0
-1.489386,0.241971,0
-0.486903,0.195351,1
1.416447,0.153884,1
0.081082,0.149526,0
-0.287607,0.195749,2
-0.981693,0.124160,0
-0.291030,-0.137774,1
-1.167435,0.038479,0
-0.479504,0.034909,2
-1.500000,0.017059,0
0.518979,0.025389,0
1.500000,-0.043466,1
-1.308952,0.002064,0
-0.425452,-0.018642,2
0.053151,0.006349,0
1.374432,0.006349,1
0.227780,-0.074939,0
-1.016268,-0.114384,0
1.339189,-0.135025,1
-1.163897,-0.154303,0
1.277482,-0.492415,1
-0.362556,-0.272115,2
-0.167642,-0.403810,2
-0.420931,-0.442049,1
-0.243200,-0.595104,1
-0.070345,-0.850462,1
1.316192,-0.719084,1
1.018359,-1.070579,1
0.884565,-0.914723,2
0.227250,-1.244551,1
-0.138033,-1.050659,1
0.663964,-1.106245,2
0.338397,-1.190509,1
0.675023,-1.362406,1
0.265427,-1.236027,2
0.762948,-1.254769,1
0.888987,-1.329443,1
0.505278,-1.500000,2
